,top words,0,1,2,Text,Text_Processed,REFERENCE_ID,YEAR,TITLE,Text_Processed_str,category
189,qualiti air criteria ambient standard ,11.694705,0.07446018,0.07489538,Organolead speciation in environmental samples: A review,"['organolead', 'speciat', 'environment', 'sampl', 'A', 'review']",74450,1996,Organolead speciation in environmental samples: A review,organolead speciat environment sampl A review,10
225,qualiti air criteria ambient standard ,11.203434,-1.2295328,-2.6750991,Neonatal lead exposure changes quality of sperm and number of macrophages in testes of BALB/c mice,"['neonat', 'lead', 'exposur', 'chang', 'qualiti', 'sperm', 'number', 'macrophag', 'test', 'balb/c', 'mice']",77558,2005,Neonatal lead exposure changes quality of sperm and number of macrophages in testes of BALB/c mice,neonat lead exposur chang qualiti sperm number macrophag test balb/c mice,10
243,qualiti air criteria ambient standard ,9.897226,-0.78676665,-3.7151887,Inhibition of embryo development of the commercial bivalves Ruditapes decussatus and Mytilus galloprovincialis by trace metals; implications for the implementation of seawater quality criteria,"['inhibit', 'embryo', 'develop', 'commerci', 'bivalv', 'ruditap', 'decussatu', 'mytilu', 'galloprovinciali', 'trace', 'metal', 'implic', 'implement', 'seawat', 'qualiti', 'criteria']",75505,2003,Inhibition of embryo development of the commercial bivalves Ruditapes decussatus and Mytilus galloprovincialis by trace metals; implications for the implementation of seawater quality criteria,inhibit embryo develop commerci bivalv ruditap decussatu mytilu galloprovinciali trace metal implic implement seawat qualiti criteria,10
351,qualiti air criteria ambient standard ,10.419097,-0.92509145,-3.370368,Development and evaluation of consensus-based sediment quality guidelines for freshwater ecosystems,"['develop', 'evalu', 'consensus-bas', 'sediment', 'qualiti', 'guidelin', 'freshwat', 'ecosystem']",81289,2000,Development and evaluation of consensus-based sediment quality guidelines for freshwater ecosystems,develop evalu consensus-bas sediment qualiti guidelin freshwat ecosystem,10
624,qualiti air criteria ambient standard ,11.308592,-0.2251606,-4.839372,Concentrated ambient air particles induce vasoconstriction of small pulmonary arteries in rats,"['concentr', 'ambient', 'air', 'particl', 'induc', 'vasoconstrict', 'small', 'pulmonari', 'arteri', 'rat']",88109,2002,Concentrated ambient air particles induce vasoconstriction of small pulmonary arteries in rats,concentr ambient air particl induc vasoconstrict small pulmonari arteri rat,10
629,qualiti air criteria ambient standard ,11.682305,-2.5677507,-2.0447364,"Changes in the lead isotopic composition of blood, diet and air in Australia over a decade: Globalization and implications for future isotopic studies","['chang', 'lead', 'isotop', 'composit', 'blood', 'diet', 'air', 'australia', 'decad', 'global', 'implic', 'futur', 'isotop', 'studi']",88198,2006,"Changes in the lead isotopic composition of blood, diet and air in Australia over a decade: Globalization and implications for future isotopic studies",chang lead isotop composit blood diet air australia decad global implic futur isotop studi,10
693,qualiti air criteria ambient standard ,13.94718,-0.8808421,-4.593318,The effects of components of fine particulate air pollution on mortality in California: Results from CALFINE,"['the', 'effect', 'compon', 'fine', 'particul', 'air', 'pollut', 'mortal', 'california', 'result', 'calfin']",91354,2007,The effects of components of fine particulate air pollution on mortality in California: Results from CALFINE,the effect compon fine particul air pollut mortal california result calfin,10
699,qualiti air criteria ambient standard ,10.458994,-3.00025,-1.8820862,"Lead in umbilical blood, indoor air, tap water, and gasoline in Boston","['lead', 'umbil', 'blood', 'indoor', 'air', 'tap', 'water', 'gasolin', 'boston']",93549,1984,"Lead in umbilical blood, indoor air, tap water, and gasoline in Boston",lead umbil blood indoor air tap water gasolin boston,10
703,qualiti air criteria ambient standard ,21.94348,-7.4923897,0.4217292,Ambient water quality criteria for lead - 1984,"['ambient', 'water', 'qualiti', 'criteria', 'lead']",95024,1985,Ambient water quality criteria for lead - 1984,ambient water qualiti criteria lead,10
777,qualiti air criteria ambient standard ,21.94518,-7.4915905,0.42283043,Air quality criteria for lead: Volume I of II,"['air', 'qualiti', 'criteria', 'lead', 'volum', 'I', 'II']",90110,2006,Air quality criteria for lead: Volume I of II,air qualiti criteria lead volum I II,10
778,qualiti air criteria ambient standard ,21.262522,-8.090363,1.1926975,Review of the national ambient air quality standards for lead: Policy assessment of scientific and technical information: OAQPS staff paper - first draft,"['review', 'nation', 'ambient', 'air', 'qualiti', 'standard', 'lead', 'polici', 'assess', 'scientif', 'technic', 'inform', 'oaqp', 'staff', 'paper', 'first', 'draft']",90216,2006,Review of the national ambient air quality standards for lead: Policy assessment of scientific and technical information: OAQPS staff paper - first draft,review nation ambient air qualiti standard lead polici assess scientif technic inform oaqp staff paper first draft,10
863,qualiti air criteria ambient standard ,22.079844,-7.1240025,1.0600605,Tennessee area designations for the 2008 lead National Ambient Air Quality Standards,"['tennesse', 'area', 'design', 'lead', 'nation', 'ambient', 'air', 'qualiti', 'standard']",672961,2008,Tennessee area designations for the 2008 lead National Ambient Air Quality Standards,tennesse area design lead nation ambient air qualiti standard,10
864,qualiti air criteria ambient standard ,22.079721,-7.1236963,1.0598654,Florida area designations for the 2008 lead National Ambient Air Quality Standards,"['florida', 'area', 'design', 'lead', 'nation', 'ambient', 'air', 'qualiti', 'standard']",672960,2008,Florida area designations for the 2008 lead National Ambient Air Quality Standards,florida area design lead nation ambient air qualiti standard,10
865,qualiti air criteria ambient standard ,22.34723,-7.513089,0.5330766,California area designations for the 2008 lead National Ambient Air Quality Standards,"['california', 'area', 'design', 'lead', 'nation', 'ambient', 'air', 'qualiti', 'standard']",672962,2008,California area designations for the 2008 lead National Ambient Air Quality Standards,california area design lead nation ambient air qualiti standard,10
866,qualiti air criteria ambient standard ,22.135277,-6.931836,0.7605076,Missouri area designations for the 2008 lead National Ambient Air Quality Standards,"['missouri', 'area', 'design', 'lead', 'nation', 'ambient', 'air', 'qualiti', 'standard']",672963,2008,Missouri area designations for the 2008 lead National Ambient Air Quality Standards,missouri area design lead nation ambient air qualiti standard,10
870,qualiti air criteria ambient standard ,10.520536,-0.47513574,-1.7220666,Memorandum: Summary of method detection limits for ambient lead methods,"['memorandum', 'summari', 'method', 'detect', 'limit', 'ambient', 'lead', 'method']",672713,2007,Memorandum: Summary of method detection limits for ambient lead methods,memorandum summari method detect limit ambient lead method,10
878,qualiti air criteria ambient standard ,9.400517,-2.5043795,-4.497559,"Cadmium, lead and their mixtures with copper: Paracentrotus lividus embryotoxicity assessment, prediction, and offspring quality evaluation","['cadmium', 'lead', 'mixtur', 'copper', 'paracentrotu', 'lividu', 'embryotox', 'assess', 'predict', 'offspr', 'qualiti', 'evalu']",672914,2010,"Cadmium, lead and their mixtures with copper: Paracentrotus lividus embryotoxicity assessment, prediction, and offspring quality evaluation",cadmium lead mixtur copper paracentrotu lividu embryotox assess predict offspr qualiti evalu,10
880,qualiti air criteria ambient standard ,22.079844,-7.1240025,1.0600605,Ohio area designations for the 2008 lead National Ambient Air Quality Standards,"['ohio', 'area', 'design', 'lead', 'nation', 'ambient', 'air', 'qualiti', 'standard']",672934,2008,Ohio area designations for the 2008 lead National Ambient Air Quality Standards,ohio area design lead nation ambient air qualiti standard,10
884,qualiti air criteria ambient standard ,21.138794,-7.3304367,1.2767857,National recommended water quality criteria: 2002,"['nation', 'recommend', 'water', 'qualiti', 'criteria']",673029,2002,National recommended water quality criteria: 2002,nation recommend water qualiti criteria,10
887,qualiti air criteria ambient standard ,10.307895,-0.15888266,-0.6438325,Memorandum regarding Doe Run-Herculaneum State Implementation Plan (SIP) dispersion modeling review,"['memorandum', 'regard', 'doe', 'run-herculaneum', 'state', 'implement', 'plan', 'sip', 'dispers', 'model', 'review']",673333,2007,Memorandum regarding Doe Run-Herculaneum State Implementation Plan (SIP) dispersion modeling review,memorandum regard doe run-herculaneum state implement plan sip dispers model review,10
910,qualiti air criteria ambient standard ,21.343378,-8.032464,1.1587422,"Review of the national ambient air quality standards for lead:
Policy assessment of scientific and technical Information: OAQPS staff paper","['review', 'nation', 'ambient', 'air', 'qualiti', 'standard', 'lead', 'polici', 'assess', 'scientif', 'technic', 'inform', 'oaqp', 'staff', 'paper']",677235,2007,"Review of the national ambient air quality standards for lead:
Policy assessment of scientific and technical Information: OAQPS staff paper",review nation ambient air qualiti standard lead polici assess scientif technic inform oaqp staff paper,10
979,qualiti air criteria ambient standard ,-0.45082524,-19.335619,0.24260417,Lead concentration in the blood of children and its association with lead in soil and ambient air: Trends between 1983 and 2000 in Duisburg,"['lead', 'concentr', 'blood', 'children', 'associ', 'lead', 'soil', 'ambient', 'air', 'trend', 'duisburg']",180290,2008,Lead concentration in the blood of children and its association with lead in soil and ambient air: Trends between 1983 and 2000 in Duisburg,lead concentr blood children associ lead soil ambient air trend duisburg,10
1265,qualiti air criteria ambient standard ,-0.45096752,-19.333672,0.24363986,Lead concentration in the blood of children and its association with lead in soil and ambient air: Trends between 1983 and 2000 in a German industrial city,"['lead', 'concentr', 'blood', 'children', 'associ', 'lead', 'soil', 'ambient', 'air', 'trend', 'german', 'industri', 'citi']",513378,2006,Lead concentration in the blood of children and its association with lead in soil and ambient air: Trends between 1983 and 2000 in a German industrial city,lead concentr blood children associ lead soil ambient air trend german industri citi,10
1308,qualiti air criteria ambient standard ,13.096479,-0.46422508,-5.6429925,Concentration of trace elements in human semen and relation to spermatozoa quality,"['concentr', 'trace', 'element', 'human', 'semen', 'relat', 'spermatozoa', 'qualiti']",522722,2009,Concentration of trace elements in human semen and relation to spermatozoa quality,concentr trace element human semen relat spermatozoa qualiti,10
1330,qualiti air criteria ambient standard ,1.9974469,18.490795,-3.4682229,Emission factor supporting documentation for the final mercury and air toxics standards,"['emiss', 'factor', 'support', 'document', 'final', 'mercuri', 'air', 'toxic', 'standard']",938686,2011,Emission factor supporting documentation for the final mercury and air toxics standards,emiss factor support document final mercuri air toxic standard,10
1341,qualiti air criteria ambient standard ,22.498827,-7.4859214,0.8327845,Integrated review plan for the national ambient air quality standards for lead,"['integr', 'review', 'plan', 'nation', 'ambient', 'air', 'qualiti', 'standard', 'lead']",1003024,2011,Integrated review plan for the national ambient air quality standards for lead,integr review plan nation ambient air qualiti standard lead,10
1367,qualiti air criteria ambient standard ,9.994757,-0.04991424,-0.18955941,List of designated reference and equivalent methods,"['list', 'design', 'refer', 'equival', 'method']",945868,2011,List of designated reference and equivalent methods,list design refer equival method,10
1404,qualiti air criteria ambient standard ,10.474912,-0.3226971,-1.237651,"Heart rate variability: Standards of measurement, physiological interpretation and clinical use","['heart', 'rate', 'variabl', 'standard', 'measur', 'physiolog', 'interpret', 'clinic', 'use']",1290737,1996,"Heart rate variability: Standards of measurement, physiological interpretation and clinical use",heart rate variabl standard measur physiolog interpret clinic use,10
1414,qualiti air criteria ambient standard ,9.898394,-0.018374668,-0.052882213,Heart rate variability and myocardial infarction: systematic literature review and metanalysis,"['heart', 'rate', 'variabl', 'myocardi', 'infarct', 'systemat', 'literatur', 'review', 'metanalysi']",1291209,2009,Heart rate variability and myocardial infarction: systematic literature review and metanalysis,heart rate variabl myocardi infarct systemat literatur review metanalysi,10
1577,qualiti air criteria ambient standard ,13.133747,-0.72133505,-2.9330676,Impact of the open biomass fires in spring and summer of 2006 on the chemical composition of background air in south-eastern Finland,"['impact', 'open', 'biomass', 'fire', 'spring', 'summer', 'chemic', 'composit', 'background', 'air', 'south-eastern', 'finland']",448983,2008,Impact of the open biomass fires in spring and summer of 2006 on the chemical composition of background air in south-eastern Finland,impact open biomass fire spring summer chemic composit background air south-eastern finland,10
1598,qualiti air criteria ambient standard ,10.564395,-0.7070119,-2.6694577,"Catchment condition as a major control on the quality of receiving basin sediments (Sydney Harbour, Australia)","['catchment', 'condit', 'major', 'control', 'qualiti', 'receiv', 'basin', 'sediment', 'sydney', 'harbour', 'australia']",453926,2009,"Catchment condition as a major control on the quality of receiving basin sediments (Sydney Harbour, Australia)",catchment condit major control qualiti receiv basin sediment sydney harbour australia,10
